TERRYR,year_,Count,InABS
PAST91,1991,5714,FALSE
PLOT91,1991,11859,TRUE
ROSE91,1991,3143,TRUE
RUSS91,1991,2339,FALSE
SCOB91,1991,5681,TRUE
SCOP91,1991,10468,TRUE
SFLA91,1991,4793,TRUE
SIBR91,1991,4950,FALSE
SIXS91,1991,4013,TRUE
SLUM91,1991,3453,TRUE
SORA91,1991,5105,TRUE
SPLT91,1991,5317,TRUE
SWAL91,1991,2955,FALSE
TOMB91,1991,1948,FALSE
WAHO91,1991,7122,TRUE
WCOP91,1991,5284,TRUE
WSIX91,1991,6362,FALSE
WWSX91,1991,4342,FALSE
XRDS91,1991,3970,TRUE
BALD92,1992,8739,FALSE
BEND92,1992,9947,TRUE
BNCH92,1992,6582,TRUE
CACT92,1992,3209,FALSE
CHOP92,1992,6334,FALSE
DEER92,1992,4698,TRUE
EBAY92,1992,7339,TRUE
ELIN92,1992,9432,TRUE
EQUS92,1992,2413,FALSE
FBYN92,1992,9562,FALSE
FENC92,1992,5542,FALSE
HICE92,1992,7054,TRUE
JERE92,1992,386,TRUE
LAZT92,1992,6908,TRUE
LINX92,1992,9316,FALSE
LOCK92,1992,12265,TRUE
LOOP92,1992,8707,FALSE
LOPZ92,1992,10098,TRUE
MRGO92,1992,4315,FALSE
MUME92,1992,7123,TRUE
N7RD92,1992,11837,TRUE
NBEN92,1992,13107,TRUE
NMID92,1992,3108,TRUE
NNWX92,1992,6681,FALSE
NPOL92,1992,1634,TRUE
NWES92,1992,11173,FALSE
PAST92,1992,8038,FALSE
PLOT92,1992,19596,TRUE
RUSS92,1992,2360,FALSE
SCOB92,1992,5390,TRUE
SCOP92,1992,13735,TRUE
SFLA92,1992,5199,TRUE
SIBR92,1992,4585,FALSE
SIXS92,1992,4329,TRUE
SLUM92,1992,2593,TRUE
SORA92,1992,7938,TRUE
SWAL92,1992,3676,FALSE
WAHO92,1992,6012,TRUE
WCOP92,1992,7091,TRUE
WWSX92,1992,9402,FALSE
XRDS92,1992,5104,TRUE
BALD93,1993,7774,FALSE
BEND93,1993,18739,TRUE
BNCH93,1993,7441,TRUE
CACT93,1993,4394,FALSE
CHOP93,1993,7347,FALSE
CROS93,1993,6385,TRUE
CTRW93,1993,3320,TRUE
CURY93,1993,3198,TRUE
DEER93,1993,4507,TRUE
ELIN93,1993,8801,TRUE
EQUS93,1993,1340,FALSE
FBYN93,1993,5180,FALSE
FENC93,1993,5697,FALSE
HARY93,1993,1185,FALSE
HICE93,1993,6940,TRUE
LINX93,1993,4187,FALSE
LOCK93,1993,3233,TRUE
LOOP93,1993,9014,FALSE
LOPZ93,1993,7668,TRUE
MITA93,1993,4190,FALSE
MRGO93,1993,4332,FALSE
MUME93,1993,7887,TRUE
N7RD93,1993,12901,TRUE
NMID93,1993,2527,TRUE
NNWX93,1993,7698,FALSE
NPOL93,1993,3822,TRUE
NWES93,1993,15203,FALSE
PAST93,1993,7197,FALSE
PLOT93,1993,13883,TRUE
RIDG93,1993,5175,TRUE
RUSS93,1993,2879,FALSE
SCOB93,1993,5264,TRUE
SCOP93,1993,13466,TRUE
SCRP93,1993,4872,FALSE
SFLA93,1993,8103,TRUE
SIBR93,1993,5457,FALSE
SIXS93,1993,8356,TRUE
SLUM93,1993,3421,TRUE
SORA93,1993,6592,TRUE
SWAL93,1993,2998,FALSE
WAHO93,1993,7374,TRUE
WCOP93,1993,3420,TRUE
WCPR93,1993,3880,TRUE
WWSX93,1993,7435,FALSE
XRDS93,1993,6433,TRUE
ANNI94,1994,3299,TRUE
BALD94,1994,9476,FALSE
BEND94,1994,11156,TRUE
BIGL94,1994,10218,TRUE
BNCH94,1994,15753,TRUE
CACT94,1994,6365,FALSE
CHOP94,1994,7045,FALSE
CPEN94,1994,419,TRUE
CURY94,1994,4486,TRUE
DEER94,1994,6958,TRUE
ELIN94,1994,10946,TRUE
EQUS94,1994,1926,FALSE
FARS94,1994,4600,TRUE
FBYN94,1994,7854,FALSE
FENC94,1994,4392,FALSE
HARY94,1994,1271,FALSE
HICE94,1994,7630,TRUE
LINX94,1994,2871,FALSE
LOCK94,1994,6801,TRUE
LOOP94,1994,9962,FALSE
LOP294,1994,2617,FALSE
LOPZ94,1994,6994,TRUE
MCBY94,1994,7382,FALSE
MILL94,1994,5625,TRUE
MRGO94,1994,4268,FALSE
MUME94,1994,7286,TRUE
N7RD94,1994,11705,TRUE
NBEN94,1994,4477,TRUE
NNWX94,1994,5537,FALSE
NPOL94,1994,4255,TRUE
NWES94,1994,11354,FALSE
PAST94,1994,7100,FALSE
RUSS94,1994,5347,TRUE
SCOB94,1994,6205,TRUE
SCOP94,1994,8102,TRUE
SCRP94,1994,3691,FALSE
SFLA94,1994,9041,TRUE
SIBR94,1994,5844,FALSE
SIXB94,1994,959,TRUE
SIXS94,1994,9012,TRUE
SLUM94,1994,2834,TRUE
SORA94,1994,8280,TRUE
SWAL94,1994,4929,FALSE
TOMB94,1994,2962,FALSE
TP3994,1994,2112,TRUE
WAHO94,1994,8785,TRUE
WCOP94,1994,2868,TRUE
WCPR94,1994,4192,TRUE
WWSX94,1994,8549,FALSE
XRDS94,1994,8199,TRUE
ANNI95,1995,5357,TRUE
BALD95,1995,4363,FALSE
BEND95,1995,10204,TRUE
BIGL95,1995,9867,TRUE
BNCH95,1995,13711,FALSE
CACT95,1995,6364,FALSE
CHIK95,1995,3806,FALSE
