USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1713-49786,Q-YW,F,Y,CATE132,5/9/2013,8/13/2014
1713-49784,Q-RH,F,Y,PINS132,5/7/2013,10/16/2013
1713-13371,-BWQ,F,Y,SFLS101,4/29/2010,3/16/2011
1713-49352,nQ-R,F,Y,SFLS121,5/7/2012,5/29/2012
1713-13364,-YWQ,F,Y,EAGR101,4/29/2010,1/19/2011
1713-13498,Q-nP,F,Y,NWES132,5/19/2013,7/9/2013
1603-51840,nP-Q,F,Y,RAUL091,5/1/2009,7/11/2009
1513-50087,Q-nL,F,Y,JANN131,5/25/2013,6/8/2013
1713-13307,nW-Q,F,Y,SCOB092,5/28/2009,6/11/2009
1713-13340,-WWQ,F,Y,CRSM101,4/23/2010,6/21/2012
1713-13341,-WRQ,F,Y,CRSM101,4/23/2010,10/14/2015
1513-50086,Q-YO,F,Y,JANN131,5/25/2013,10/14/2015
1713-13486,Q-nY,F,Y,NBEN132,5/14/2013,6/19/2013
1713-13499,Q-nO,F,Y,NWES132,5/19/2013,6/12/2013
1713-13345,-nPQ,F,Y,PINN101,4/25/2010,6/17/2010
1713-13495,Q-HG,F,Y,PINE132,5/17/2013,7/15/2015
1713-13349,-RRQ,F,Y,SHIC101,4/25/2010,8/17/2011
1713-13350,-RGQ,F,Y,SHIC101,4/25/2010,10/19/2011
1713-13494,Q-HR,F,Y,PINE132,5/17/2013,6/17/2015
1713-13491,Q-nH,F,Y,PITA133,5/15/2013,5/15/2013
1713-13489,Q-nO,F,Y,PITA133,5/15/2013,5/16/2013
1713-49779,Q-LY,F,Y,RATL132,5/5/2013,9/18/2013
1513-50081,Q-PO,F,Y,SHIC132,5/25/2013,10/14/2015
1713-49221,GRQ-H,F,Y,DICE112,5/4/2011,10/19/2011
1713-13658,-nGQ,F,Y,SCAC101,5/15/2010,6/14/2010
1713-13995,GBQ-,F,Y,CRSM111,4/18/2011,6/13/2012
1713-49225,GPQ-H,F,Y,CRSN113,5/7/2011,10/14/2015
1713-49224,GBQ-H,F,Y,CRSN113,5/7/2011,7/10/2014
