JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
GPQ-,F,Y,CRSM111,4/18/2011 0:00,19-Oct-11,1713-13996,184
GOQ-,F,Y,CRSM111,4/18/2011 0:00,12-Apr-16,1713-13997,1821
nWQ-,M,Y,LARR111,4/17/2011 0:00,18-Apr-11,1713-14000,1
nRQ-,F,Y,LARR111,4/17/2011 0:00,18-Apr-11,1713-49001,1
WGQ-,M,Y,LARR111,4/17/2011 0:00,20-Jul-11,1713-49002,94
WYQ-,M,Y,LARR111,4/17/2011 0:00,14-Sep-11,1713-49003,150
PBQ-,M,Y,PMPE111,4/19/2011 0:00,14-Mar-12,1713-49004,330
PPQ-,F,Y,PMPE111,4/19/2011 0:00,19-Oct-11,1713-49005,183
POQ-,M,Y,PMPE111,4/19/2011 0:00,17-Aug-11,1713-49006,120
GWQ-,F,Y,NSWL111,4/18/2011 0:00,14-Nov-12,1713-49007,576
GRQ-,M,Y,NSWL111,4/18/2011 0:00,14-Sep-11,1713-49008,149
GGQ-,M,Y,NSWL111,4/18/2011 0:00,14-Sep-11,1713-49009,149
GYQ-,F,Y,NSWL111,4/18/2011 0:00,14-Sep-11,1713-49010,149
nRQ-,M,Y,NPOL111,4/15/2011 0:00,18-Apr-11,1713-49015,3
RBQ-,M,Y,CATE111,4/23/2011 0:00,07-Jul-14,1713-49021,1171
RPQ-,F,Y,CATE111,4/23/2011 0:00,15-Feb-12,1713-49022,298
ROQ-,M,Y,CATE111,4/23/2011 0:00,20-Jul-11,1713-49023,88
RLQ-,F,Y,CATE111,4/23/2011 0:00,14-Mar-12,1713-49024,326
HWQ-,F,Y,MERL111,4/19/2011 0:00,18-Jan-12,1713-49025,274
HRQ-,F,Y,MERL111,4/19/2011 0:00,12-Apr-16,1713-49026,1820
nGQ-,F,Y,MERL111,4/19/2011 0:00,19-May-11,1713-49027,30
BHQ-,F,Y,REED111,4/19/2011 0:00,20-Jul-11,1713-49029,92
BAQ-,M,Y,REED111,4/19/2011 0:00,13-Feb-13,1713-49030,666
YBQ-,F,Y,NNAR111,4/14/2011 0:00,16-Jun-11,1713-49031,63
YPQ-,M,Y,NNAR111,4/14/2011 0:00,15-Jun-11,1713-49032,62
YOQ-,M,Y,NNAR111,4/14/2011 0:00,12-Apr-16,1713-49033,1825
nLQ-,M,Y,NNAR111,4/14/2011 0:00,03-Jun-11,1713-49034,50
